rank,file,disease,assertions,pairs,assessed_pairs,mismatch_assertions,partial_assertions,mismatch_aspects,partial_aspects,match_aspects,root_mismatch,root_partial,root_match,max_p_mismatch,no_evidence,missing_snippet,invalid_input,api_error,not_assessed,ready,cached_pairs
153,kb/disorders/Argininosuccinic_Aciduria.yaml,Argininosuccinic Aciduria,74,85,80,33,56,86,143,317,13,41,26,0.89,4,0,0,1,0,0,0
154,kb/disorders/Cold_Agglutinin_Disease.yaml,Cold Agglutinin Disease,108,156,139,33,77,121,300,493,2,93,44,0.88,17,0,0,0,0,0,0
155,kb/disorders/Antisynthetase_Syndrome.yaml,Antisynthetase Syndrome,78,86,85,33,67,73,185,271,2,55,28,0.78,1,0,0,0,0,0,0
156,kb/disorders/Autosomal_Recessive_Hypophosphatemic_Rickets_1.yaml,Autosomal Recessive Hypophosphatemic Rickets 1,96,176,157,32,72,196,499,610,7,116,34,0.99,15,0,0,4,0,0,0
157,kb/disorders/Claes-Jensen_Type_X-Linked_Intellectual_Disability.yaml,Claes-Jensen Type X-Linked Intellectual Disability,76,139,118,32,53,182,435,457,5,93,20,0.98,21,0,0,0,0,0,0
158,kb/disorders/Autosomal_Recessive_Spinocerebellar_Ataxia_16.yaml,Autosomal Recessive Spinocerebellar Ataxia 16,73,111,96,32,47,136,244,305,11,65,20,0.98,14,0,0,1,0,0,0
159,kb/disorders/Chickenpox.yaml,Chickenpox,49,72,68,32,33,149,100,147,16,45,7,0.98,3,0,0,1,0,0,1
160,kb/disorders/Autosomal_Recessive_Osteopetrosis_3.yaml,Autosomal Recessive Osteopetrosis 3,80,129,116,32,56,351,311,382,18,72,26,0.97,9,0,0,4,0,0,0
161,kb/disorders/Adult-Type_Hypolactasia.yaml,Adult-Type Hypolactasia,81,107,106,32,69,91,166,364,6,60,40,0.96,1,0,0,0,0,0,106
162,kb/disorders/Aicardi_Goutieres_Syndrome.yaml,Aicardi-Goutieres Syndrome,111,165,118,32,63,256,357,340,3,77,38,0.94,47,0,0,0,0,0,113
163,kb/disorders/Cholesteatoma.yaml,Cholesteatoma,70,84,84,32,59,90,208,267,2,55,27,0.93,0,0,0,0,0,0,0
164,kb/disorders/Double_Outlet_Right_Ventricle.yaml,Double Outlet Right Ventricle,112,181,152,32,81,131,491,473,7,119,26,0.92,26,0,0,3,0,0,0
165,kb/disorders/APL_PML_RARA.yaml,"Acute Promyelocytic Leukemia, PML-RARA",88,114,113,32,67,102,199,453,5,63,45,0.91,0,0,0,1,0,0,0
166,kb/disorders/Aromatic_L_Amino_Acid_Decarboxylase_Deficiency.yaml,Aromatic L-amino acid decarboxylase deficiency,141,197,167,32,97,97,313,731,1,74,92,0.9,29,0,0,1,0,0,0
167,kb/disorders/Dry_Eye_Disease.yaml,Dry Eye Disease,69,77,75,32,56,47,190,302,1,40,34,0.86,0,0,0,2,0,0,0
168,kb/disorders/Bacterial_meningitis.yaml,Bacterial meningitis,61,145,135,31,48,232,281,426,29,80,26,0.99,9,0,0,1,0,0,0
169,kb/disorders/ABCC9-Related_Intellectual_Disability_and_Myopathy_Syndrome.yaml,ABCC9-Related Intellectual Disability and Myopathy Syndrome,88,157,153,31,73,186,343,507,12,85,56,0.98,4,0,0,0,0,0,153
170,kb/disorders/Acute_Erythroid_Leukemia.yaml,Acute Erythroid Leukemia,78,113,92,31,46,164,218,302,13,53,26,0.98,20,0,0,1,0,0,0
171,kb/disorders/Ataxia_With_Oculomotor_Apraxia_Type_2.yaml,Ataxia With Oculomotor Apraxia Type 2,107,156,126,31,67,112,221,494,8,60,58,0.97,29,0,0,1,0,0,0
172,kb/disorders/Cardiac_Sarcoidosis.yaml,Cardiac Sarcoidosis,80,128,113,31,63,162,379,309,2,91,20,0.97,14,0,0,1,0,0,0
173,kb/disorders/Autosomal_Dominant_Hypocalcemia_1.yaml,Autosomal Dominant Hypocalcemia 1,90,128,98,31,55,148,205,334,8,55,35,0.95,26,0,0,4,0,0,0
174,kb/disorders/Aspergillosis.yaml,Aspergillosis,112,152,121,31,78,111,250,519,5,95,21,0.94,30,0,0,1,0,0,0
175,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_41.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 41,53,98,86,31,33,200,253,313,21,54,11,0.94,11,0,0,1,0,0,0
176,kb/disorders/ADPRS-Related_Stress-Induced_Neurodegeneration.yaml,ADPRS-Related Stress-Induced Neurodegeneration,117,163,99,31,53,106,366,415,4,78,17,0.9,64,0,0,0,0,0,99
177,kb/disorders/3MC_Syndrome.yaml,3MC Syndrome,106,145,139,30,84,123,246,556,19,66,54,0.98,6,0,0,0,0,0,139
178,kb/disorders/Acromesomelic_Dysplasia_Maroteaux_Type.yaml,Acromesomelic Dysplasia Maroteaux Type,87,118,117,30,79,135,275,428,13,57,47,0.98,0,0,0,1,0,0,85
179,kb/disorders/BMP2-Related_Short_Stature-Facial_Dysmorphism-Skeletal_Anomalies_Syndrome.yaml,BMP2-Related Short Stature-Facial Dysmorphism-Skeletal Anomalies Syndrome,114,140,108,30,77,114,272,367,10,57,41,0.98,31,0,0,1,0,0,0
180,kb/disorders/Adult-Onset_Proximal_Spinal_Muscular_Atrophy_Autosomal_Dominant.yaml,"Adult-Onset Proximal Spinal Muscular Atrophy, Autosomal Dominant",85,125,94,30,48,193,236,288,18,50,26,0.98,31,0,0,0,0,0,0
181,kb/disorders/Choriocarcinoma.yaml,Choriocarcinoma,94,128,119,30,79,214,344,404,5,92,22,0.97,8,0,0,1,0,0,0
182,kb/disorders/Aggressive_NK-cell_Leukemia.yaml,Aggressive NK-cell Leukemia,66,89,89,30,60,76,216,288,2,65,22,0.97,0,0,0,0,0,0,0
183,kb/disorders/Atelosteogenesis_Type_I.yaml,Atelosteogenesis Type I,60,88,87,30,52,75,185,301,3,48,36,0.97,1,0,0,0,0,0,0
184,kb/disorders/Alopecia-Intellectual_Disability_Syndrome_1.yaml,Alopecia-Intellectual Disability Syndrome 1,37,72,71,30,31,180,134,154,26,37,8,0.97,0,0,0,1,0,0,0
185,kb/disorders/ATTR_Amyloidosis.yaml,Hereditary Transthyretin Amyloidosis,97,123,101,30,70,167,195,446,6,54,41,0.96,21,0,0,1,0,0,24
186,kb/disorders/46_XY_Sex_Reversal_5.yaml,"46,XY Sex Reversal 5",103,134,98,30,58,211,235,337,9,62,27,0.95,36,0,0,0,0,0,98
187,kb/disorders/BPTF-Related_Neurodevelopmental_Disorder.yaml,BPTF-Related Neurodevelopmental Disorder,93,128,90,30,52,194,293,400,1,68,21,0.95,36,0,0,2,0,0,0
188,kb/disorders/CAPOS_Syndrome.yaml,CAPOS Syndrome,73,120,103,30,48,140,265,389,4,68,31,0.94,16,0,0,1,0,0,0
189,kb/disorders/CODAS_Syndrome.yaml,CODAS Syndrome,96,129,122,30,80,74,219,452,3,61,58,0.9,5,0,0,2,0,0,0
190,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_2A.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 2A,71,123,111,30,51,162,240,348,13,71,27,0.9,11,0,0,1,0,0,0
191,kb/disorders/Adenylosuccinate_Lyase_Deficiency.yaml,Adenylosuccinate Lyase Deficiency,75,112,105,30,55,89,287,322,11,49,45,0.87,7,0,0,0,0,0,0
192,kb/disorders/BRAF_V600E_Mutant_NSCLC.yaml,BRAF V600E-Mutant Non-Small Cell Lung Cancer,58,72,71,30,53,79,226,211,0,56,15,0.87,0,0,0,1,0,0,0
193,kb/disorders/Borjeson-Forssman-Lehmann_syndrome.yaml,Borjeson-Forssman-Lehmann syndrome,89,100,100,30,84,63,196,382,3,47,50,0.82,0,0,0,0,0,0,0
194,kb/disorders/Bird_Fanciers_Lung.yaml,Bird Fancier's Lung,80,110,110,29,65,97,199,398,9,57,44,0.99,0,0,0,0,0,0,0
195,kb/disorders/CKD-Mineral_Bone_Disorder.yaml,CKD-Mineral Bone Disorder,67,85,81,29,51,308,256,325,9,49,23,0.99,4,0,0,0,0,0,0
196,kb/disorders/Barber-Say_Syndrome.yaml,Barber-Say Syndrome,96,155,131,29,72,115,353,509,6,84,41,0.98,22,0,0,2,0,0,0
197,kb/disorders/Ciguatera_Fish_Poisoning.yaml,Ciguatera Fish Poisoning,101,162,130,29,65,142,330,481,6,83,41,0.97,27,0,0,5,0,0,0
198,kb/disorders/ALPK3-Related_Hypertrophic_Cardiomyopathy.yaml,ALPK3-Related Hypertrophic Cardiomyopathy,114,139,112,29,70,155,223,508,7,53,52,0.95,26,0,0,1,0,0,0
199,kb/disorders/Achondrogenesis_Type_IA.yaml,Achondrogenesis Type IA,85,119,103,29,65,99,251,356,5,58,40,0.95,16,0,0,0,0,0,0
200,kb/disorders/Developmental_And_Epileptic_Encephalopathy_8.yaml,Developmental and Epileptic Encephalopathy 8,72,134,132,29,61,190,279,523,9,75,48,0.95,2,0,0,0,0,0,0
201,kb/disorders/Cockayne_Syndrome.yaml,Cockayne Syndrome,122,171,117,29,68,92,240,466,2,74,41,0.93,54,0,0,0,0,0,0
202,kb/disorders/Anaplastic_Large_Cell_Lymphoma.yaml,Anaplastic Large Cell Lymphoma,100,120,114,29,68,63,218,596,0,54,60,0.93,6,0,0,0,0,0,0
203,kb/disorders/CACNA1A_Related_Disorder.yaml,CACNA1A-Related Disorder,51,71,71,29,47,144,185,212,11,50,10,0.92,0,0,0,0,0,0,0
204,kb/disorders/Asparagine_Synthetase_Deficiency.yaml,Asparagine synthetase deficiency,68,80,80,29,65,58,248,266,6,40,34,0.9,0,0,0,0,0,0,0
205,kb/disorders/COG1-congenital_disorder_of_glycosylation.yaml,COG1-congenital disorder of glycosylation,91,103,102,29,84,51,232,355,8,59,35,0.86,0,0,0,1,0,0,0
206,kb/disorders/AHCY_Deficiency.yaml,S-Adenosylhomocysteine Hydrolase Deficiency,136,163,157,29,110,67,299,556,2,76,79,0.85,6,0,0,0,0,0,0
207,kb/disorders/Ataxia_Telangiectasia.yaml,Ataxia-telangiectasia,97,124,113,29,76,112,296,462,4,74,35,0.83,10,0,0,1,0,0,0
208,kb/disorders/CLCN2-Related_Leukoencephalopathy.yaml,CLCN2-Related Leukoencephalopathy,86,148,114,28,51,164,362,497,8,76,30,0.99,33,0,0,1,0,0,0
209,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_25.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 25,71,103,82,28,47,159,189,299,15,51,16,0.99,20,0,0,1,0,0,0
210,kb/disorders/Chung-Jansen_Syndrome.yaml,Chung-Jansen Syndrome,115,164,144,28,92,79,398,514,6,96,42,0.98,20,0,0,0,0,0,0
211,kb/disorders/Acute_Hepatitis_C_Virus_Infection.yaml,Acute Hepatitis C Virus Infection,74,81,76,28,59,73,183,258,5,50,21,0.98,4,0,0,1,0,0,0
212,kb/disorders/Duane_Retraction_Syndrome_3_With_Or_Without_Deafness.yaml,Duane Retraction Syndrome 3 With Or Without Deafness,65,93,79,28,50,134,220,311,10,50,19,0.98,14,0,0,0,0,0,0
213,kb/disorders/Common_Variable_Immunodeficiency.yaml,Common Variable Immunodeficiency,88,146,132,28,68,174,317,627,7,76,49,0.95,12,0,0,2,0,0,0
214,kb/disorders/Bethlem_Myopathy.yaml,Bethlem myopathy,109,163,120,28,65,120,357,417,2,85,33,0.95,41,0,0,2,0,0,0
215,kb/disorders/Cranial_Dysinnervation_Disorder_Congenital_With_Absent_Corneal_Reflex_And_Developmental_Delay.yaml,Congenital Cranial Dysinnervation Disorder with Absent Corneal Reflex and Developmental Delay,62,100,94,28,50,118,268,305,7,63,24,0.95,5,0,0,1,0,0,0
216,kb/disorders/Acute_Intermittent_Porphyria.yaml,Acute Intermittent Porphyria,116,165,161,28,95,163,340,622,3,94,64,0.94,3,0,0,1,0,0,0
217,kb/disorders/Arts_syndrome.yaml,Arts syndrome,105,116,115,28,92,51,239,450,3,45,67,0.94,1,0,0,0,0,0,0
218,kb/disorders/Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency.yaml,Autosomal Recessive Ataxia Due to Ubiquinone Deficiency,78,88,87,28,64,52,176,296,4,49,34,0.94,0,0,0,1,0,0,0
219,kb/disorders/Atypical_Hemolytic_Uremic_Syndrome.yaml,Atypical Hemolytic Uremic Syndrome,69,96,76,28,44,118,214,195,10,56,10,0.94,20,0,0,0,0,0,0
220,kb/disorders/Achromatopsia.yaml,Achromatopsia,77,106,104,28,63,100,241,410,4,64,36,0.93,2,0,0,0,0,0,72
221,kb/disorders/2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml,2-Methylbutyryl-CoA Dehydrogenase Deficiency,67,89,87,28,58,79,208,255,2,66,19,0.93,2,0,0,0,0,0,87
222,kb/disorders/Andersen-Tawil_Syndrome.yaml,Andersen-Tawil Syndrome,100,144,102,28,52,97,253,372,4,67,31,0.93,41,0,0,1,0,0,0
223,kb/disorders/ACAN-Related_Short_Stature_Spectrum.yaml,ACAN-Related Short Stature Spectrum,76,131,103,28,44,167,292,357,11,75,17,0.93,27,0,0,1,0,0,0
224,kb/disorders/45_X_46_XY_Mixed_Gonadal_Dysgenesis.yaml,"45,X/46,XY Mixed Gonadal Dysgenesis",111,147,141,28,93,69,273,455,5,71,65,0.92,6,0,0,0,0,0,141
225,kb/disorders/Cyanide_Poisoning.yaml,Cyanide Poisoning,94,135,113,28,68,118,234,385,5,82,26,0.9,22,0,0,0,0,0,0
226,kb/disorders/Acute_Disseminated_Encephalomyelitis.yaml,Acute Disseminated Encephalomyelitis,84,113,112,27,74,73,254,381,4,68,40,0.98,0,0,0,1,0,0,0
227,kb/disorders/3-Hydroxy-3-Methylglutaric_Aciduria.yaml,3-Hydroxy-3-Methylglutaric Aciduria,87,112,94,27,62,85,225,355,9,48,37,0.97,18,0,0,0,0,0,94
228,kb/disorders/CATSHL_Syndrome.yaml,CATSHL Syndrome,66,78,59,27,42,87,177,206,9,35,15,0.96,18,0,0,1,0,0,0
229,kb/disorders/Brachyolmia.yaml,Brachyolmia,93,121,83,27,38,153,169,304,20,34,29,0.94,38,0,0,0,0,0,0
230,kb/disorders/Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy.yaml,Adult-Onset Autosomal Dominant Demyelinating Leukodystrophy,89,126,122,27,73,180,271,507,6,73,43,0.93,4,0,0,0,0,0,0
231,kb/disorders/ALG1-Congenital_Disorder_of_Glycosylation.yaml,ALG1-congenital disorder of glycosylation,65,79,79,27,60,43,177,286,2,46,31,0.9299999999999999,0,0,0,0,0,0,79
232,kb/disorders/Autoinflammation_Immune_Dysregulation_and_Eosinophilia.yaml,"Autoinflammation, immune dysregulation, and eosinophilia",71,95,93,27,64,108,227,330,7,59,27,0.92,0,0,0,2,0,0,0
233,kb/disorders/Chuvash_Polycythemia.yaml,Chuvash Polycythemia,83,116,88,27,49,86,166,316,4,62,22,0.92,28,0,0,0,0,0,0
234,kb/disorders/Chlorophacinone_Poisoning.yaml,Chlorophacinone Poisoning,75,114,107,27,57,112,272,317,9,71,27,0.91,5,0,0,2,0,0,0
235,kb/disorders/Autosomal_Recessive_Osteopetrosis_1.yaml,Autosomal Recessive Osteopetrosis 1,98,128,85,27,50,70,152,295,5,37,43,0.91,43,0,0,0,0,0,0
236,kb/disorders/Dilated_Cardiomyopathy.yaml,Dilated Cardiomyopathy,118,158,128,27,36,405,262,565,6,55,67,0.91,29,0,0,1,0,0,0
237,kb/disorders/Brucellosis.yaml,Brucellosis,120,131,108,27,84,76,226,317,5,72,31,0.9,22,0,0,1,0,0,0
238,kb/disorders/Blastic_Plasmacytoid_Dendritic_Cell_Neoplasm.yaml,Blastic Plasmacytoid Dendritic Cell Neoplasm,129,163,109,27,69,67,212,407,3,84,22,0.87,53,0,0,1,0,0,0
239,kb/disorders/Alexander_Disease.yaml,Alexander Disease,100,148,114,27,61,192,353,509,4,73,37,0.87,32,0,0,2,0,0,0
240,kb/disorders/Cardiofacioneurodevelopmental_Syndrome.yaml,Cardiofacioneurodevelopmental Syndrome,82,114,87,26,52,302,249,350,9,51,27,0.98,26,0,0,1,0,0,0
241,kb/disorders/Anauxetic_Dysplasia.yaml,Anauxetic dysplasia,90,112,83,26,46,107,152,333,9,48,26,0.98,27,0,0,2,0,0,0
242,kb/disorders/Autosomal_Dominant_Optic_Atrophy.yaml,Autosomal Dominant Optic Atrophy,73,116,90,26,44,218,253,395,8,57,25,0.98,26,0,0,0,0,0,0
243,kb/disorders/Dilated_Cardiomyopathy_1U.yaml,Dilated Cardiomyopathy 1U,48,68,51,26,29,214,133,126,20,24,7,0.98,14,0,0,3,0,0,0
244,kb/disorders/3-Methylcrotonyl-CoA_Carboxylase_Deficiency.yaml,3-Methylcrotonyl-CoA Carboxylase Deficiency,60,93,87,26,49,138,214,233,6,56,25,0.97,6,0,0,0,0,0,87
245,kb/disorders/Auditory_Neuropathy.yaml,Auditory Neuropathy,68,88,79,26,47,106,157,327,6,44,29,0.96,9,0,0,0,0,0,0
246,kb/disorders/Bryant-Li-Bhoj_Neurodevelopmental_Syndrome_2.yaml,Bryant-Li-Bhoj Neurodevelopmental Syndrome 2,128,171,123,26,78,161,339,465,2,84,37,0.95,48,0,0,0,0,0,0
247,kb/disorders/Charcot-Marie-Tooth_Disease_Type_4D.yaml,Charcot-Marie-Tooth disease type 4D,107,159,128,26,72,114,367,430,6,75,47,0.95,31,0,0,0,0,0,0
248,kb/disorders/3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency.yaml,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,76,107,105,26,68,109,247,278,9,64,32,0.94,2,0,0,0,0,0,105
249,kb/disorders/Centronuclear_Myopathy.yaml,Centronuclear Myopathy,76,93,63,26,34,94,161,273,11,32,20,0.92,30,0,0,0,0,0,0
250,kb/disorders/Acute_Respiratory_Distress_Syndrome.yaml,Acute Respiratory Distress Syndrome,84,91,79,26,63,66,203,308,4,52,23,0.91,11,0,0,1,0,0,0
251,kb/disorders/Carnitine_Palmitoyltransferase_II_Deficiency.yaml,Carnitine Palmitoyltransferase II Deficiency,87,123,119,26,73,177,329,472,2,65,52,0.9,2,0,0,2,0,0,0
252,kb/disorders/Botulism.yaml,Botulism,116,125,123,26,92,78,274,389,3,83,37,0.88,1,0,0,1,0,0,0
253,kb/disorders/Aromatase_Deficiency.yaml,Aromatase Deficiency,78,106,104,26,59,86,269,565,0,37,67,0.68,0,0,0,2,0,0,0
254,kb/disorders/Autosomal_Dominant_Sensory_Ataxia_1.yaml,Autosomal Dominant Sensory Ataxia 1,79,118,91,25,48,251,269,310,11,58,22,1.0,27,0,0,0,0,0,0
255,kb/disorders/AGAT_Deficiency.yaml,AGAT Deficiency,72,95,95,25,57,52,175,435,4,36,55,0.99,0,0,0,0,0,0,95
256,kb/disorders/Bernard-Soulier_Syndrome.yaml,Bernard-Soulier Syndrome,92,123,87,25,51,94,245,278,4,61,22,0.99,36,0,0,0,0,0,0
257,kb/disorders/Bipolar_Disorder.yaml,Bipolar Disorder,67,116,87,25,32,276,180,178,25,52,10,0.99,28,0,0,1,0,0,0
258,kb/disorders/Aortitis.yaml,Aortitis,75,97,82,25,45,91,199,291,8,43,31,0.98,14,0,0,1,0,0,0
259,kb/disorders/ALK_Rearranged_NSCLC.yaml,ALK-Rearranged Non-Small Cell Lung Cancer,54,72,70,25,48,85,153,249,1,49,20,0.97,2,0,0,0,0,0,61
260,kb/disorders/Craniofacial_Microsomia.yaml,Craniofacial Microsomia,96,140,110,25,65,180,305,357,3,85,22,0.96,28,0,0,2,0,0,0
261,kb/disorders/Cone_Dystrophy.yaml,Cone Dystrophy,47,55,55,25,42,74,150,142,5,38,12,0.96,0,0,0,0,0,0,0
262,kb/disorders/6q16_Deletion_Syndrome.yaml,6q16 Deletion Syndrome,103,135,133,25,96,72,274,392,11,81,41,0.95,2,0,0,0,0,0,132
263,kb/disorders/Bannayan-Riley-Ruvalcaba_Syndrome.yaml,Bannayan-Riley-Ruvalcaba Syndrome,73,134,112,25,51,153,310,300,7,86,19,0.95,22,0,0,0,0,0,0
264,kb/disorders/Bailey-Bloch_Congenital_Myopathy.yaml,Bailey-Bloch Congenital Myopathy,63,85,68,25,42,102,167,209,13,40,15,0.95,17,0,0,0,0,0,0
265,kb/disorders/Bosch-Boonstra-Schaaf_Optic_Atrophy_Syndrome.yaml,Bosch-Boonstra-Schaaf Optic Atrophy Syndrome,79,109,101,25,60,98,301,384,3,58,40,0.94,6,0,0,2,0,0,0
266,kb/disorders/Ectopic_Pregnancy.yaml,Ectopic Pregnancy,68,78,64,25,43,96,144,246,3,40,21,0.93,14,0,0,0,0,0,0
267,kb/disorders/Chromosome_Xq_Duplication.yaml,Chromosome Xq Duplication,115,137,102,25,70,64,207,411,5,60,37,0.92,35,0,0,0,0,0,0
268,kb/disorders/Combined_Oxidative_Phosphorylation_Defect_Type_21.yaml,Combined Oxidative Phosphorylation Defect Type 21,64,104,100,25,56,135,285,300,4,79,17,0.92,4,0,0,0,0,0,0
269,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_68.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 68,69,117,93,25,42,170,342,327,11,64,18,0.89,23,0,0,1,0,0,0
270,kb/disorders/Anti-NMDA_Receptor_Encephalitis.yaml,Anti-NMDA Receptor Encephalitis,79,99,94,25,69,75,248,261,1,67,26,0.84,5,0,0,0,0,0,0
271,kb/disorders/Dilated_Cardiomyopathy_1R.yaml,Dilated Cardiomyopathy 1R,53,87,69,24,32,199,210,242,5,43,21,1.0,17,0,0,1,0,0,0
272,kb/disorders/Achoo_Syndrome.yaml,Achoo Syndrome,35,49,48,24,33,96,72,95,17,20,11,0.98,0,0,0,1,0,0,0
273,kb/disorders/CRB1_Retinal_Dystrophies.yaml,CRB1 Retinal Dystrophies,44,76,74,24,40,172,198,238,4,49,21,0.97,2,0,0,0,0,0,0
274,kb/disorders/Autosomal_Dominant_Polycystic_Kidney_Disease.yaml,Autosomal Dominant Polycystic Kidney Disease,84,100,73,24,50,50,119,335,2,24,47,0.96,26,0,0,1,0,0,0
275,kb/disorders/Apert_Syndrome.yaml,Apert Syndrome,104,124,121,24,89,53,260,406,1,83,37,0.94,2,0,0,1,0,0,0
276,kb/disorders/Arboleda-Tham_Syndrome.yaml,Arboleda-Tham Syndrome,111,130,123,24,102,85,334,431,1,76,46,0.93,6,0,0,1,0,0,0
277,kb/disorders/Congenital_Fibrosis_of_the_Extraocular_Muscles.yaml,Congenital Fibrosis of the Extraocular Muscles,89,113,108,24,66,101,308,445,6,60,42,0.93,5,0,0,0,0,0,0
278,kb/disorders/CTNNB1_Neurodevelopmental_Disorder.yaml,CTNNB1 Neurodevelopmental Disorder,74,116,91,24,48,81,259,386,2,65,24,0.93,25,0,0,0,0,0,0
279,kb/disorders/Digitalis_Poisoning.yaml,Digitalis Poisoning,89,104,56,24,34,111,107,194,9,27,20,0.93,47,0,0,1,0,0,0
280,kb/disorders/Amyloidosis.yaml,Amyloidosis,76,85,81,24,61,75,160,333,1,55,25,0.92,4,0,0,0,0,0,0
281,kb/disorders/Alstrom_Syndrome.yaml,Alstrom Syndrome,69,84,83,24,57,62,164,365,2,44,37,0.9,1,0,0,0,0,0,0
282,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_12.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 12,51,84,78,24,39,100,199,235,9,57,12,0.89,5,0,0,1,0,0,0
283,kb/disorders/Canavan_Disease.yaml,Canavan disease,80,104,76,24,47,60,192,265,2,44,30,0.88,28,0,0,0,0,0,0
284,kb/disorders/Alsahan-Harris_Syndrome.yaml,Alsahan-Harris Syndrome,47,65,54,24,27,83,129,191,20,28,6,0.88,10,0,0,1,0,0,0
285,kb/disorders/Amatoxin_Poisoning.yaml,Amatoxin Poisoning,99,122,88,24,55,84,157,323,3,47,38,0.87,33,0,0,1,0,0,0
286,kb/disorders/ARHGDIA-Related_Steroid-Resistant_Nephrotic_Syndrome.yaml,ARHGDIA-Related Steroid-Resistant Nephrotic Syndrome,71,96,76,24,46,74,177,300,4,48,24,0.82,20,0,0,0,0,0,59
287,kb/disorders/Congenital_Disorder_Of_Glycosylation_Type_ICC.yaml,"Congenital Disorder of Glycosylation, Type ICC",47,57,46,23,21,70,56,202,14,12,20,1.0,10,0,0,1,0,0,0
288,kb/disorders/Dysostosis_Multiplex_Ain-Naz_Type.yaml,"Dysostosis Multiplex, Ain-Naz Type",69,84,58,23,41,96,178,138,10,37,11,0.99,25,0,0,1,0,0,0
289,kb/disorders/Autosomal_Dominant_Robinow_Syndrome_3.yaml,Autosomal Dominant Robinow Syndrome 3,169,195,121,23,86,39,244,436,7,68,46,0.98,73,0,0,1,0,0,0
290,kb/disorders/Citrullinemia_Type_I.yaml,Citrullinemia Type I,98,118,111,23,84,112,313,383,6,73,32,0.98,7,0,0,0,0,0,0
291,kb/disorders/ARX-Related_Lissencephaly_and_Interneuronopathy.yaml,X-Linked Lissencephaly With Abnormal Genitalia (ARX-Related),91,124,118,23,75,180,280,412,13,65,40,0.98,4,0,0,2,0,0,0
292,kb/disorders/3-Phosphoglycerate_Dehydrogenase_Deficiency.yaml,3-Phosphoglycerate Dehydrogenase Deficiency,89,110,106,23,72,114,294,421,2,66,38,0.98,4,0,0,0,0,0,104
293,kb/disorders/47_XYY_Syndrome.yaml,"47,XYY Syndrome",73,88,87,23,63,56,153,314,6,38,43,0.97,1,0,0,0,0,0,86
294,kb/disorders/Autosomal_Recessive_Progressive_External_Ophthalmoplegia_1.yaml,Autosomal Recessive Progressive External Ophthalmoplegia 1,97,134,93,23,56,126,214,327,5,63,25,0.97,36,0,0,5,0,0,0
295,kb/disorders/Adenomyosis.yaml,Adenomyosis,63,85,66,23,45,126,174,256,2,50,14,0.97,17,0,0,2,0,0,0
296,kb/disorders/Charcot-Marie-Tooth_Disease_Axonal_Type_2S.yaml,Charcot-Marie-Tooth Disease Axonal Type 2S,60,81,58,23,33,100,155,176,6,44,8,0.97,21,0,0,2,0,0,0
297,kb/disorders/Bryant-Li-Bhoj_Neurodevelopmental_Syndrome_1.yaml,Bryant-Li-Bhoj Neurodevelopmental Syndrome 1,70,103,89,23,52,118,214,345,3,54,32,0.96,13,0,0,1,0,0,0
298,kb/disorders/Benign_Familial_Infantile_Epilepsy.yaml,Benign Familial Infantile Epilepsy,66,87,71,23,43,249,224,277,10,44,17,0.96,15,0,0,1,0,0,0
299,kb/disorders/Feingold_Syndrome.yaml,Feingold Syndrome,51,56,47,23,41,61,180,94,7,37,3,0.95,8,0,0,1,0,0,0
300,kb/disorders/Conduct_Disorder.yaml,Conduct Disorder,48,68,61,23,41,98,125,173,7,45,9,0.95,7,0,0,0,0,0,0
301,kb/disorders/GPD1_Deficiency.yaml,GPD1 Deficiency,64,114,100,23,47,95,247,347,8,68,24,0.94,12,0,0,2,0,0,0
302,kb/disorders/Charcot-Marie-Tooth_Disease_Type_X.yaml,Charcot-Marie-Tooth Disease Type X,72,89,62,23,40,104,150,208,5,42,15,0.94,27,0,0,0,0,0,0
303,kb/disorders/Blau_Syndrome.yaml,Blau Syndrome,75,103,103,23,70,84,305,287,1,77,25,0.92,0,0,0,0,0,0,0
304,kb/disorders/Autosomal_Recessive_Spastic_Ataxia_9.yaml,Autosomal Recessive Spastic Ataxia 9,104,126,79,23,52,133,221,325,8,48,23,0.92,46,0,0,1,0,0,0
305,kb/disorders/CARMIL2_Deficiency.yaml,CARMIL2 Deficiency,86,118,90,23,54,73,216,375,5,50,35,0.91,28,0,0,0,0,0,0
